,STATEFP,COUNTYFP,TRACTCE,GEOIDFQ,GEOID,NAME,NAMELSAD,STUSPS,NAMELSADCO,STATE_NAME,LSAD,ALAND,AWATER,geometry,total_households,households_snap,households_public_assistance_income,impacted,impacted_pct
1977,42,101,002500,1400000US42101002500,42101002500,25,Census Tract 25,PA,Philadelphia County,Pennsylvania,CT,393627,0,"POLYGON ((-8366126.607058896 4856305.01242906, -8366089.537668462 4856519.4401412355, -8366079.852872762 4856576.060282325, -8366059.258766966 4856701.061274724, -8366025.528961255 4856898.365692844, -8365855.544098814 4856839.5659531, -8365685.2252779 4856780.040645095, -8365514.349859534 4856716.886135037, -8365304.401299896 4856643.714515028, -8365090.6678775735 4856568.656091691, -8365146.772900934 4856265.669729027, -8365233.379464771 4855967.047744904, -8365629.454213013 4856035.568865249, -8365805.450327958 4856066.635800068, -8365981.780401374 4856095.815579644, -8366155.550126501 4856126.592355427, -8366126.607058896 4856305.01242906))",2063.0,505.0,128.0,505.0,24.5
1978,42,101,002500,1400000US42101002500,42101002500,25,Census Tract 25,PA,Philadelphia County,Pennsylvania,CT,393627,0,"POLYGON ((-8366126.607058896 4856305.01242906, -8366089.537668462 4856519.4401412355, -8366079.852872762 4856576.060282325, -8366059.258766966 4856701.061274724, -8366025.528961255 4856898.365692844, -8365855.544098814 4856839.5659531, -8365685.2252779 4856780.040645095, -8365514.349859534 4856716.886135037, -8365304.401299896 4856643.714515028, -8365090.6678775735 4856568.656091691, -8365146.772900934 4856265.669729027, -8365233.379464771 4855967.047744904, -8365629.454213013 4856035.568865249, -8365805.450327958 4856066.635800068, -8365981.780401374 4856095.815579644, -8366155.550126501 4856126.592355427, -8366126.607058896 4856305.01242906))",2063.0,505.0,128.0,505.0,24.5
1979,42,101,002500,1400000US42101002500,42101002500,25,Census Tract 25,PA,Philadelphia County,Pennsylvania,CT,393627,0,"POLYGON ((-8366126.607058896 4856305.01242906, -8366089.537668462 4856519.4401412355, -8366079.852872762 4856576.060282325, -8366059.258766966 4856701.061274724, -8366025.528961255 4856898.365692844, -8365855.544098814 4856839.5659531, -8365685.2252779 4856780.040645095, -8365514.349859534 4856716.886135037, -8365304.401299896 4856643.714515028, -8365090.6678775735 4856568.656091691, -8365146.772900934 4856265.669729027, -8365233.379464771 4855967.047744904, -8365629.454213013 4856035.568865249, -8365805.450327958 4856066.635800068, -8365981.780401374 4856095.815579644, -8366155.550126501 4856126.592355427, -8366126.607058896 4856305.01242906))",2063.0,505.0,128.0,505.0,24.5
1980,42,101,002500,1400000US42101002500,42101002500,25,Census Tract 25,PA,Philadelphia County,Pennsylvania,CT,393627,0,"POLYGON ((-8366126.607058896 4856305.01242906, -8366089.537668462 4856519.4401412355, -8366079.852872762 4856576.060282325, -8366059.258766966 4856701.061274724, -8366025.528961255 4856898.365692844, -8365855.544098814 4856839.5659531, -8365685.2252779 4856780.040645095, -8365514.349859534 4856716.886135037, -8365304.401299896 4856643.714515028, -8365090.6678775735 4856568.656091691, -8365146.772900934 4856265.669729027, -8365233.379464771 4855967.047744904, -8365629.454213013 4856035.568865249, -8365805.450327958 4856066.635800068, -8365981.780401374 4856095.815579644, -8366155.550126501 4856126.592355427, -8366126.607058896 4856305.01242906))",2063.0,505.0,128.0,505.0,24.5
1981,42,101,002500,1400000US42101002500,42101002500,25,Census Tract 25,PA,Philadelphia County,Pennsylvania,CT,393627,0,"POLYGON ((-8366126.607058896 4856305.01242906, -8366089.537668462 4856519.4401412355, -8366079.852872762 4856576.060282325, -8366059.258766966 4856701.061274724, -8366025.528961255 4856898.365692844, -8365855.544098814 4856839.5659531, -8365685.2252779 4856780.040645095, -8365514.349859534 4856716.886135037, -8365304.401299896 4856643.714515028, -8365090.6678775735 4856568.656091691, -8365146.772900934 4856265.669729027, -8365233.379464771 4855967.047744904, -8365629.454213013 4856035.568865249, -8365805.450327958 4856066.635800068, -8365981.780401374 4856095.815579644, -8366155.550126501 4856126.592355427, -8366126.607058896 4856305.01242906))",2063.0,505.0,128.0,505.0,24.5
1982,42,101,002500,1400000US42101002500,42101002500,25,Census Tract 25,PA,Philadelphia County,Pennsylvania,CT,393627,0,"POLYGON ((-8366126.607058896 4856305.01242906, -8366089.537668462 4856519.4401412355, -8366079.852872762 4856576.060282325, -8366059.258766966 4856701.061274724, -8366025.528961255 4856898.365692844, -8365855.544098814 4856839.5659531, -8365685.2252779 4856780.040645095, -8365514.349859534 4856716.886135037, -8365304.401299896 4856643.714515028, -8365090.6678775735 4856568.656091691, -8365146.772900934 4856265.669729027, -8365233.379464771 4855967.047744904, -8365629.454213013 4856035.568865249, -8365805.450327958 4856066.635800068, -8365981.780401374 4856095.815579644, -8366155.550126501 4856126.592355427, -8366126.607058896 4856305.01242906))",2063.0,505.0,128.0,505.0,24.5
1983,42,101,002500,1400000US42101002500,42101002500,25,Census Tract 25,PA,Philadelphia County,Pennsylvania,CT,393627,0,"POLYGON ((-8366126.607058896 4856305.01242906, -8366089.537668462 4856519.4401412355, -8366079.852872762 4856576.060282325, -8366059.258766966 4856701.061274724, -8366025.528961255 4856898.365692844, -8365855.544098814 4856839.5659531, -8365685.2252779 4856780.040645095, -8365514.349859534 4856716.886135037, -8365304.401299896 4856643.714515028, -8365090.6678775735 4856568.656091691, -8365146.772900934 4856265.669729027, -8365233.379464771 4855967.047744904, -8365629.454213013 4856035.568865249, -8365805.450327958 4856066.635800068, -8365981.780401374 4856095.815579644, -8366155.550126501 4856126.592355427, -8366126.607058896 4856305.01242906))",2063.0,505.0,128.0,505.0,24.5
1984,42,101,002500,1400000US42101002500,42101002500,25,Census Tract 25,PA,Philadelphia County,Pennsylvania,CT,393627,0,"POLYGON ((-8366126.607058896 4856305.01242906, -8366089.537668462 4856519.4401412355, -8366079.852872762 4856576.060282325, -8366059.258766966 4856701.061274724, -8366025.528961255 4856898.365692844, -8365855.544098814 4856839.5659531, -8365685.2252779 4856780.040645095, -8365514.349859534 4856716.886135037, -8365304.401299896 4856643.714515028, -8365090.6678775735 4856568.656091691, -8365146.772900934 4856265.669729027, -8365233.379464771 4855967.047744904, -8365629.454213013 4856035.568865249, -8365805.450327958 4856066.635800068, -8365981.780401374 4856095.815579644, -8366155.550126501 4856126.592355427, -8366126.607058896 4856305.01242906))",2063.0,505.0,128.0,505.0,24.5
1985,42,101,002500,1400000US42101002500,42101002500,25,Census Tract 25,PA,Philadelphia County,Pennsylvania,CT,393627,0,"POLYGON ((-8366126.607058896 4856305.01242906, -8366089.537668462 4856519.4401412355, -8366079.852872762 4856576.060282325, -8366059.258766966 4856701.061274724, -8366025.528961255 4856898.365692844, -8365855.544098814 4856839.5659531, -8365685.2252779 4856780.040645095, -8365514.349859534 4856716.886135037, -8365304.401299896 4856643.714515028, -8365090.6678775735 4856568.656091691, -8365146.772900934 4856265.669729027, -8365233.379464771 4855967.047744904, -8365629.454213013 4856035.568865249, -8365805.450327958 4856066.635800068, -8365981.780401374 4856095.815579644, -8366155.550126501 4856126.592355427, -8366126.607058896 4856305.01242906))",2063.0,505.0,128.0,505.0,24.5
1986,42,101,002500,1400000US42101002500,42101002500,25,Census Tract 25,PA,Philadelphia County,Pennsylvania,CT,393627,0,"POLYGON ((-8366126.607058896 4856305.01242906, -8366089.537668462 4856519.4401412355, -8366079.852872762 4856576.060282325, -8366059.258766966 4856701.061274724, -8366025.528961255 4856898.365692844, -8365855.544098814 4856839.5659531, -8365685.2252779 4856780.040645095, -8365514.349859534 4856716.886135037, -8365304.401299896 4856643.714515028, -8365090.6678775735 4856568.656091691, -8365146.772900934 4856265.669729027, -8365233.379464771 4855967.047744904, -8365629.454213013 4856035.568865249, -8365805.450327958 4856066.635800068, -8365981.780401374 4856095.815579644, -8366155.550126501 4856126.592355427, -8366126.607058896 4856305.01242906))",2063.0,505.0,128.0,505.0,24.5
